id,datetime,open,high,low,close
0,2020-03-28,6297.52002,6322.70020,6215.18994,6303.91992
1,2020-03-27,6745.43018,6831.70996,6323.60986,6363.50000
2,2020-03-26,6687.50000,6775.72021,6534.70996,6737.37012
3,2020-03-25,6734.00977,6938.49023,6470.08984,6679.68018
4,2020-03-24,6466.58984,6827.66992,6388.20996,6747.72021
5,2020-03-23,5803.37988,6566.20020,5694.91016,6482.14014
6,2020-03-22,6179.06006,6403.95996,5747.93018,5817.85986
7,2020-03-21,6213.31006,6443.54980,5890.50000,6190.00000
8,2020-03-20,6165.56006,6898.02979,5757.02002,6208.43018
9,2020-03-19,5406.39014,6389.08008,5264.75977,6168.45020
10,2020-03-18,5325.18994,5426.39990,5012.85010,5395.85010
11,2020-03-17,5084.95996,5510.00977,4945.06982,5331.58008
12,2020-03-16,5360.16992,5363.04980,4468.10986,5024.35010
13,2020-03-15,5174.68018,5901.29004,5109.95996,5364.49023
14,2020-03-14,5534.68994,5629.47021,5061.91016,5177.10010
15,2020-03-13,4846.49023,5886.60986,3783.51001,5580.83984
16,2020-03-12,7944.60010,7961.50977,4509.95020,4858.37988
17,2020-03-11,7886.16016,7973.31006,7599.14990,7932.81006
18,2020-03-10,7930.49023,8145.77002,7758.54980,7886.43018
19,2020-03-09,8037.02979,8152.58984,7649.37012,7934.89990
20,2020-03-08,8885.00000,8885.00000,8009.58984,8029.56982
21,2020-03-07,9134.48047,9167.53027,8846.54980,8885.91016
22,2020-03-06,9044.24023,9165.04980,8992.79980,9133.59961
23,2020-03-05,8757.65039,9153.04004,8757.65039,9059.99023
24,2020-03-04,8766.75000,8844.69043,8674.16992,8753.29004
25,2020-03-03,8912.29980,8912.75977,8667.01953,8760.36035
26,2020-03-02,8530.51953,8964.84961,8499.92969,8911.44043
27,2020-03-01,8553.71973,8742.70996,8432.16992,8542.33008
28,2020-02-29,8699.75000,8790.00000,8524.08008,8524.08008
29,2020-02-28,8823.50000,8898.62012,8456.26953,8690.83984
30,2020-02-27,8784.75977,8969.61035,8535.04004,8818.00000
31,2020-02-26,9314.12988,9377.09961,8666.00000,8790.11035
32,2020-02-25,9655.00000,9670.58984,9255.73047,9320.00000
33,2020-02-24,9936.13965,9987.95020,9493.51953,9659.00977
34,2020-02-23,9650.00000,9970.54980,9649.00000,9944.21973
35,2020-02-22,9678.40039,9705.41992,9560.58984,9651.75000
36,2020-02-21,9597.34961,9754.95996,9571.29004,9677.70020
37,2020-02-20,9588.57031,9681.66016,9456.38965,9604.23047
38,2020-02-19,10168.76953,10230.00000,9380.16992,9595.63965
39,2020-02-18,9707.12012,10249.98047,9596.69043,10156.12012
40,2020-02-17,9904.26953,9952.71973,9453.00000,9697.94043
41,2020-02-16,9904.34961,10047.29004,9646.54004,9925.92969
42,2020-02-15,10352.75000,10372.99023,9814.75000,9906.28027
43,2020-02-14,10229.92969,10372.53027,10113.20020,10344.49023
44,2020-02-13,10316.95020,10496.54980,10110.00000,10240.38965
45,2020-02-12,10231.36035,10436.83984,10231.36035,10324.24023
46,2020-02-11,9856.33008,10323.44043,9717.96973,10225.00000
47,2020-02-10,10157.79980,10186.08008,9771.00000,9852.57031
48,2020-02-09,9895.00000,10158.99023,9881.00000,10153.83008
49,2020-02-08,9813.71973,9937.30957,9671.91992,9898.11035
50,2020-02-07,9773.03027,9883.05957,9736.03027,9819.59961
51,2020-02-06,9620.83008,9859.36035,9536.73047,9770.00000
52,2020-02-05,9196.50000,9727.38965,9179.58984,9612.95020
53,2020-02-04,9301.95020,9347.83008,9100.28027,9197.24023
54,2020-02-03,9326.91016,9580.08008,9242.95020,9295.08008
55,2020-02-02,9383.08008,9467.33984,9204.75000,9326.75000
56,2020-02-01,9354.70996,9463.04004,9302.00000,9387.71973
57,2020-01-31,9512.46973,9529.99023,9232.07031,9352.79004
58,2020-01-30,9290.00000,9576.41016,9213.69043,9513.29004
59,2020-01-29,9396.15039,9432.32031,9256.59961,9300.54980
60,2020-01-28,8917.25000,9388.95020,8910.95020,9367.04980
61,2020-01-27,8621.33008,9000.00000,8584.95996,8907.58008
62,2020-01-26,8327.48047,8615.24023,8304.16016,8612.54980
63,2020-01-25,8439.54004,8450.04980,8272.90039,8340.00000
64,2020-01-24,8405.00000,8522.87988,8238.80957,8437.48047
65,2020-01-23,8686.58008,8686.58008,8310.34961,8409.83984
66,2020-01-22,8744.98047,8807.28027,8600.53027,8682.11035
67,2020-01-21,8649.05957,8777.49023,8518.03027,8733.33008
68,2020-01-20,8711.42969,8743.29980,8523.38965,8641.83984
69,2020-01-19,8912.37012,9196.84961,8542.20020,8701.55957
70,2020-01-18,8905.78027,8985.17969,8806.78027,8919.34961
71,2020-01-17,8722.49023,9018.00000,8676.71973,8912.58984
72,2020-01-16,8824.57031,8859.21973,8601.78027,8731.99023
73,2020-01-15,8802.63965,8912.38965,8573.66992,8829.16992
74,2020-01-14,8112.64014,8876.13965,8112.64014,8840.00000
75,2020-01-13,8184.62988,8195.00977,8060.02002,8107.75977
76,2020-01-12,8005.85010,8189.41992,7968.02979,8182.41016
77,2020-01-11,8176.39014,8284.84961,8006.22998,8020.00977
78,2020-01-10,7817.75977,8197.37012,7684.74023,8194.87988
79,2020-01-09,8052.75977,8052.75977,7753.72998,7822.22998
80,2020-01-08,8147.08984,8450.54980,7880.79980,8049.77002
81,2020-01-07,7769.20996,8186.81006,7740.00000,8158.56982
82,2020-01-06,7352.39014,7783.45996,7348.39014,7757.18994
83,2020-01-05,7355.08008,7489.43994,7323.89014,7357.16992
84,2020-01-04,7340.45996,7398.50977,7284.00000,7351.87988
85,2020-01-03,6964.39990,7399.00000,6878.79980,7335.56006
86,2020-01-02,7193.35010,7212.50000,6943.75977,6962.74023
87,2020-01-01,7190.64014,7254.91992,7175.81006,7200.56006
