id,Country,Province,Lat,Lon,Date,Cases,Status
0,Italy,,0,0,2020-01-31T00:00:00Z,2,confirmed
1,Italy,,0,0,2020-02-01T00:00:00Z,2,confirmed
2,Italy,,0,0,2020-02-02T00:00:00Z,2,confirmed
3,Italy,,0,0,2020-02-03T00:00:00Z,2,confirmed
4,Italy,,0,0,2020-02-04T00:00:00Z,2,confirmed
5,Italy,,0,0,2020-02-05T00:00:00Z,2,confirmed
6,Italy,,0,0,2020-02-06T00:00:00Z,2,confirmed
7,Italy,,0,0,2020-02-07T00:00:00Z,3,confirmed
8,Italy,,0,0,2020-02-08T00:00:00Z,3,confirmed
9,Italy,,0,0,2020-02-09T00:00:00Z,3,confirmed
10,Italy,,0,0,2020-02-10T00:00:00Z,3,confirmed
11,Italy,,0,0,2020-02-11T00:00:00Z,3,confirmed
12,Italy,,0,0,2020-02-12T00:00:00Z,3,confirmed
13,Italy,,0,0,2020-02-13T00:00:00Z,3,confirmed
14,Italy,,0,0,2020-02-14T00:00:00Z,3,confirmed
15,Italy,,0,0,2020-02-15T00:00:00Z,3,confirmed
16,Italy,,0,0,2020-02-16T00:00:00Z,3,confirmed
17,Italy,,0,0,2020-02-17T00:00:00Z,3,confirmed
18,Italy,,0,0,2020-02-18T00:00:00Z,3,confirmed
19,Italy,,0,0,2020-02-19T00:00:00Z,3,confirmed
20,Italy,,0,0,2020-02-20T00:00:00Z,3,confirmed
21,Italy,,0,0,2020-02-21T00:00:00Z,20,confirmed
22,Italy,,0,0,2020-02-22T00:00:00Z,62,confirmed
23,Italy,,0,0,2020-02-23T00:00:00Z,155,confirmed
24,Italy,,0,0,2020-02-24T00:00:00Z,229,confirmed
25,Italy,,0,0,2020-02-25T00:00:00Z,322,confirmed
26,Italy,,0,0,2020-02-26T00:00:00Z,453,confirmed
27,Italy,,0,0,2020-02-27T00:00:00Z,655,confirmed
28,Italy,,0,0,2020-02-28T00:00:00Z,888,confirmed
29,Italy,,0,0,2020-02-29T00:00:00Z,1128,confirmed
30,Italy,,0,0,2020-03-01T00:00:00Z,1694,confirmed
31,Italy,,0,0,2020-03-02T00:00:00Z,2036,confirmed
32,Italy,,0,0,2020-03-03T00:00:00Z,2502,confirmed
33,Italy,,0,0,2020-03-04T00:00:00Z,3089,confirmed
34,Italy,,0,0,2020-03-05T00:00:00Z,3858,confirmed
35,Italy,,0,0,2020-03-06T00:00:00Z,4636,confirmed
36,Italy,,0,0,2020-03-07T00:00:00Z,5883,confirmed
37,Italy,,0,0,2020-03-08T00:00:00Z,7375,confirmed
38,Italy,,0,0,2020-03-09T00:00:00Z,9172,confirmed
39,Italy,,0,0,2020-03-10T00:00:00Z,10149,confirmed
40,Italy,,0,0,2020-03-11T00:00:00Z,12462,confirmed
41,Italy,,0,0,2020-03-12T00:00:00Z,12462,confirmed
42,Italy,,0,0,2020-03-13T00:00:00Z,17660,confirmed
43,Italy,,0,0,2020-03-14T00:00:00Z,21157,confirmed
44,Italy,,0,0,2020-03-15T00:00:00Z,24747,confirmed
45,Italy,,0,0,2020-03-16T00:00:00Z,27980,confirmed
46,Italy,,0,0,2020-03-17T00:00:00Z,31506,confirmed
47,Italy,,0,0,2020-03-18T00:00:00Z,35713,confirmed
48,Italy,,0,0,2020-03-19T00:00:00Z,41035,confirmed
49,Italy,,0,0,2020-03-20T00:00:00Z,47021,confirmed
50,Italy,,0,0,2020-03-21T00:00:00Z,53578,confirmed
51,Italy,,0,0,2020-03-22T00:00:00Z,59138,confirmed
52,Italy,,0,0,2020-03-23T00:00:00Z,63927,confirmed
53,Italy,,0,0,2020-03-24T00:00:00Z,69176,confirmed
54,Italy,,0,0,2020-03-25T00:00:00Z,74386,confirmed
55,Italy,,0,0,2020-03-26T00:00:00Z,80589,confirmed
56,Italy,,0,0,2020-03-27T00:00:00Z,86498,confirmed
57,Italy,,0,0,2020-03-28T00:00:00Z,92472,confirmed
58,Italy,,0,0,2020-03-29T00:00:00Z,97689,confirmed
59,Italy,,0,0,2020-03-30T00:00:00Z,101739,confirmed
60,Italy,,0,0,2020-03-31T00:00:00Z,105792,confirmed
61,Italy,,0,0,2020-04-01T00:00:00Z,110574,confirmed
62,Italy,,0,0,2020-04-02T00:00:00Z,115242,confirmed
